"","prod_id","customer","brand_desc","ExpectedValue","category_desc_eng"
"350",999749463,24099604,"PERECÍVEIS CARNE",7.74166308999696,"FRESH BEEF"
"351",999378733,24149601,"FULA",13.8450478610258,"OIL"
"352",999749463,24149601,"PERECÍVEIS CARNE",9.03194027166312,"FRESH BEEF"
"353",999378733,24179544,"FULA",15.575678843654,"OIL"
"354",999958544,24179544,"FERRERO ROCHER",14.8468152915534,"BONBONS"
"355",999749463,24259591,"PERECÍVEIS CARNE",9.03194027166312,"FRESH BEEF"
"356",999749469,24259591,"PERECÍVEIS CARNE",9.47407940238201,"FRESH BEEF"
"357",999378733,24319826,"FULA",12.1144168783975,"OIL"
"358",999749463,24319826,"PERECÍVEIS CARNE",10.3222174533293,"FRESH BEEF"
"359",999378733,24319961,"FULA",11.2491013870834,"OIL"
"360",999749469,24319961,"PERECÍVEIS CARNE",10.9316300796715,"FRESH BEEF"
"361",999378733,24939852,"FULA",9.51847040445521,"OIL"
"362",999958544,24939852,"FERRERO ROCHER",10.7976838484024,"BONBONS"
"363",999749463,25089819,"PERECÍVEIS CARNE",9.03194027166312,"FRESH BEEF"
"364",999749469,25089819,"PERECÍVEIS CARNE",8.74530406373724,"FRESH BEEF"
"365",999378733,25249953,"FULA",16.4409943349681,"OIL"
"366",999958544,25249953,"FERRERO ROCHER",8.09826288630183,"BONBONS"
"367",999378733,25399559,"FULA",8.6531549131411,"OIL"
"368",999749463,25399559,"PERECÍVEIS CARNE",7.74166308999696,"FRESH BEEF"
"369",999749463,25509648,"PERECÍVEIS CARNE",9.03194027166312,"FRESH BEEF"
"370",999958544,25509648,"FERRERO ROCHER",12.1473943294527,"BONBONS"
"371",999424824,25619583,"MIMOSA",9.87727679882055,"CHEESE TYPE FLAMENGO"
"372",999749460,25619583,"PERECÍVEIS CARNE",10.1217885398971,"FRESH BEEF"
"373",999424824,25669531,"MIMOSA",9.87727679882055,"CHEESE TYPE FLAMENGO"
"374",999958544,25669531,"FERRERO ROCHER",9.44797336735214,"BONBONS"
"375",999424824,25759842,"MIMOSA",10.8650044787026,"CHEESE TYPE FLAMENGO"
"376",999749460,25759842,"PERECÍVEIS CARNE",10.1217885398971,"FRESH BEEF"
"377",999749469,25899797,"PERECÍVEIS CARNE",9.47407940238201,"FRESH BEEF"
"378",999958544,25899797,"FERRERO ROCHER",8.09826288630183,"BONBONS"
"379",999749463,26159683,"PERECÍVEIS CARNE",10.3222174533293,"FRESH BEEF"
"380",999958544,26159683,"FERRERO ROCHER",14.8468152915534,"BONBONS"
"381",999378733,26159689,"FULA",14.7103633523399,"OIL"
"382",999749463,26159689,"PERECÍVEIS CARNE",7.74166308999696,"FRESH BEEF"
"383",999378733,26289768,"FULA",11.2491013870834,"OIL"
"384",999958544,26289768,"FERRERO ROCHER",10.7976838484024,"BONBONS"
"385",999378733,26389660,"FULA",9.51847040445521,"OIL"
"386",999749469,26389660,"PERECÍVEIS CARNE",10.2028547410268,"FRESH BEEF"
"387",999378733,26389911,"FULA",12.1144168783975,"OIL"
"388",999958544,26389911,"FERRERO ROCHER",8.09826288630183,"BONBONS"
"389",999378733,26659928,"FULA",9.51847040445521,"OIL"
"390",999958544,26659928,"FERRERO ROCHER",9.44797336735214,"BONBONS"
"391",999378733,26739689,"FULA",11.2491013870834,"OIL"
"392",999958544,26739689,"FERRERO ROCHER",6.74855240525153,"BONBONS"
"393",999749460,26769833,"PERECÍVEIS CARNE",10.1217885398971,"FRESH BEEF"
"394",999958544,26769833,"FERRERO ROCHER",13.4971048105031,"BONBONS"
"395",999378733,26769899,"FULA",12.1144168783975,"OIL"
"396",999749469,26769899,"PERECÍVEIS CARNE",10.9316300796715,"FRESH BEEF"
"397",999378733,27039629,"FULA",10.3837858957693,"OIL"
"398",999749469,27039629,"PERECÍVEIS CARNE",10.2028547410268,"FRESH BEEF"
"399",999749469,27379831,"PERECÍVEIS CARNE",10.9316300796715,"FRESH BEEF"
"400",999958544,27379831,"FERRERO ROCHER",13.4971048105031,"BONBONS"
"401",999749460,27449746,"PERECÍVEIS CARNE",13.1583251018662,"FRESH BEEF"
"402",999749469,27449746,"PERECÍVEIS CARNE",8.01652872509247,"FRESH BEEF"
"403",999424824,27609569,"MIMOSA",11.8527321585847,"CHEESE TYPE FLAMENGO"
"404",999749463,27609569,"PERECÍVEIS CARNE",10.3222174533293,"FRESH BEEF"
"405",999749460,27799769,"PERECÍVEIS CARNE",9.10960968590735,"FRESH BEEF"
"406",999958544,27799769,"FERRERO ROCHER",9.44797336735214,"BONBONS"
"407",999378733,27899942,"FULA",9.51847040445521,"OIL"
"408",999749463,27899942,"PERECÍVEIS CARNE",7.74166308999696,"FRESH BEEF"
"409",999378733,27999642,"FULA",9.51847040445521,"OIL"
"410",999749460,27999642,"PERECÍVEIS CARNE",9.10960968590735,"FRESH BEEF"
"411",999749463,28149580,"PERECÍVEIS CARNE",10.3222174533293,"FRESH BEEF"
"412",999958544,28149580,"FERRERO ROCHER",10.7976838484024,"BONBONS"
