"","V1.x","cust_id","cust_profit_percent","V1.y","promo_sensitivity"
"1",1,799924,0.601061659526281,1,0.58293649449024
"2",2,1889991,0.555646720669079,2,0.588101358042332
"3",3,2109544,0.653532687303215,3,0.637041070955347
"4",4,7629630,0.718447733064438,4,0.511526092151125
"5",5,7669833,0.645165623203663,5,0.539620977398004
"6",6,7739787,0.542864934141007,6,0.622744192078882
"7",7,8639635,0.590567451217762,7,0.730814730105245
"8",8,10329832,0.529129448942063,8,0.683979448756939
"9",9,11789884,0.614343041638551,9,0.708159648414415
"10",10,16739664,0.613607155944065,10,0.669192139037321
"11",11,16829885,0.571339838117886,11,0.655413136934589
"12",13,18539540,0.564835746106561,13,0.553068545334001
"13",14,18909750,0.653475381882302,14,0.662292154142883
"14",15,21159716,0.618175124538922,15,0.645976522543652
"15",16,21579922,0.630305876288118,16,0.727567025347362
"16",17,24179544,0.600162892324316,17,0.726392715105454
"17",18,26499927,0.503999708392866,18,0.632047259677528
"18",19,26769899,0.672413592301265,19,0.657809372146442
"19",20,27999642,0.669195271093113,20,0.573489795443183
"20",22,31879773,0.59362392730154,22,0.607913742323382
"21",23,37359574,0.629372704314805,23,0.727807266357852
"22",24,37449943,0.591427878384198,24,0.758603741279262
"23",26,38479729,0.588192846245109,26,0.572557737695755
"24",27,38959697,0.631719947514659,27,0.525666933867876
"25",28,41459822,0.571502732670654,28,0.642295398026628
"26",30,41709604,0.503041098218556,30,0.616316194685578
"27",31,41709665,0.562968382178661,31,0.569529213583859
"28",33,43769997,0.585855890113808,33,0.548335866097172
"29",35,47779590,0.618841917310584,35,0.664965077184771
"30",36,50759829,0.621504574262435,36,0.528152108112319
"31",37,51079908,0.64409920684687,37,0.578539080255659
"32",38,52039852,0.627965205406171,38,0.641752252126227
"33",41,55699764,0.627651147250927,41,0.516616801963711
"34",42,56659977,0.590396447496079,42,0.524337686942752
"35",43,56969964,0.63182648512428,43,0.584169582252483
"36",44,58159515,0.544514601901312,44,0.553930923833282
"37",45,59719949,0.588272046267206,45,0.786273202961184
"38",46,61279763,0.637377922425104,46,0.565551539496689
"39",47,62949989,0.590093917793659,47,0.615467344441932
"40",48,63039914,0.658257736268755,48,0.562542698891464
"41",49,64599801,0.615810083826364,49,0.597003979267439
"42",50,66789769,0.638061276832778,50,0.572299924032183
"43",51,68009981,0.539107934641213,51,0.61097893765969
"44",52,68299561,0.595722861759279,52,0.548377743467224
"45",53,72549599,0.60222217291942,53,0.535300760925887
"46",54,72729561,0.635944087225343,54,0.534002824983454
"47",55,74049890,0.611688136024683,55,0.606165600972205
"48",56,75339977,0.707289647550184,56,0.530724556327519
"49",58,78669634,0.636991253421667,58,0.623262841654352
"50",59,79309672,0.596743294791418,59,0.586320076734265
"51",60,80159622,0.553572795436076,60,0.521406381988692
"52",61,81519841,0.616174678385585,61,0.562140839658199
"53",62,81879929,0.634280653507696,62,0.709577072800524
"54",63,82639994,0.590448495278925,63,0.610582760965285
"55",65,84299911,0.624044749841579,65,0.647601924054995
"56",66,85149539,0.609190284935495,66,0.608857918649341
"57",67,87629985,0.66839804117274,67,0.744600226052013
"58",68,89729948,0.585780655104453,68,0.698916517552847
"59",70,91139797,0.639884869815641,70,0.647653952335586
"60",71,93379871,0.59487097081052,71,0.568095926459849
"61",72,93789936,0.630413933417818,72,0.853351528735217
"62",73,97879953,0.505701390837523,73,0.536549470158005
"63",74,99439924,0.73686585458175,74,0.773455181072995
"64",75,2029760,0.67565922248722,75,0.732488241791253
"65",76,3549558,0.573497679373544,76,0.528366359598744
"66",78,9089753,0.619081935557366,78,0.703228368691712
"67",79,10519992,0.672348840046018,79,0.660351018072418
"68",80,11879968,0.76814268212072,80,0.613757490688066
"69",81,13559676,0.65751261427438,81,0.578282544315168
"70",82,15310000,0.599619899636975,82,0.655050856803265
"71",83,15549888,0.701456414798104,83,0.639508625356399
"72",84,15819652,0.6191935731309,84,0.555177043136324
"73",85,15819895,0.587875320019577,85,0.775439886604471
"74",86,16329990,0.560473018600136,86,0.722606239430417
"75",87,20799654,0.569575355550797,87,0.691564135870494
"76",88,22179626,0.546439385918939,88,0.763844432699896
"77",90,23259899,0.787711492168383,90,0.694792484878751
"78",91,24679862,0.606057619737362,91,0.522905174358669
"79",93,30919926,0.566371424961217,93,0.568159814781033
"80",94,32289868,0.672864974129607,94,0.576857672322096
"81",95,34409978,0.578726586806913,95,0.611999594352968
"82",96,34549548,0.658078506310807,96,0.594653789704136
"83",97,35359972,0.645340229279782,97,0.525169091921181
"84",98,35699915,0.693740539128174,98,0.619318952611596
"85",99,36779796,0.626324333003417,99,0.649001110147327
"86",101,39139826,0.622050843963156,101,0.57055476720068
"87",102,40029833,0.67796086545916,102,0.579333795938002
"88",104,41979817,0.613623574900295,104,0.686829190389322
"89",107,45459951,0.583081304822074,107,0.643334934417542
"90",108,45849808,0.663881698713503,108,0.545256072321404
"91",109,46079888,0.66879889238766,109,0.548586067993253
"92",110,48819714,0.64128941217138,110,0.567582041696663
"93",111,49929918,0.65812686172547,111,0.5931291763303
"94",113,50939655,0.619434784845052,113,0.582405494609792
"95",114,51169803,0.568091066698146,114,0.70089131861184
"96",115,51289528,0.616975832193169,115,0.512265525152435
"97",116,53229603,0.620454620810696,116,0.650403959154702
"98",117,54369934,0.663812235872295,117,0.624626795888871
"99",119,55339615,0.633931126320036,119,0.59977966024937
"100",121,60719983,0.619040447134872,121,0.587639357565791
"101",122,61209544,0.618095650570605,122,0.562492988238721
"102",123,70599860,0.585138006695237,123,0.534629787612459
"103",124,71179887,0.65924780611386,124,0.50718137559001
"104",125,72659597,0.67493247996216,125,0.686198979351685
"105",126,73159973,0.572007904958577,126,0.689342089265193
"106",127,73669554,0.578850578643655,127,0.627685454810758
"107",128,74429670,0.601697954156942,128,0.627954317466327
"108",129,76079817,0.578593319701824,129,0.665591510353838
"109",130,77329638,0.590803548896214,130,0.818222780103194
"110",131,80089813,0.648982023032984,131,0.60087738821464
"111",132,80369908,0.594954240672393,132,0.669555084318396
"112",133,80519632,0.641096348242679,133,0.574599606810398
"113",134,81679574,0.676669258596366,134,0.68622550790774
"114",137,86709958,0.576851115105298,137,0.61122671395987
"115",140,89229558,0.636541448813035,140,0.663552701166826
"116",141,90189703,0.508647612020223,141,0.519186666850719
"117",142,90619678,0.616919042156716,142,0.559653696655916
"118",143,91669577,0.653187622190568,143,0.533534879134295
"119",144,92069832,0.66841737618391,144,0.552510076225163
"120",146,94389911,0.572782244869492,146,0.651346326316911
"121",149,99569634,0.656270638808028,149,0.653265369142704
"122",150,99899717,0.628494714470628,150,0.554874823043117
"123",151,329968,0.634156642184329,151,0.725436170120652
"124",152,1139738,0.651592440114952,152,0.578480543811124
"125",153,1279966,0.514057071203433,153,0.535579623520451
"126",156,21189832,0.560782605331387,156,0.701019504011728
"127",157,22119614,0.631473375098027,157,0.751672230611721
"128",159,23669979,0.567357641109407,159,0.54278868801414
"129",161,30699587,0.643191469961566,161,0.736190358137392
"130",162,31379599,0.53069557840244,162,0.668545105327452
"131",163,31419913,0.575607355967688,163,0.648521345933842
"132",164,34639975,0.554649644607515,164,0.699968419746606
"133",165,35489977,0.704437654947158,165,0.59408063548342
"134",166,37089659,0.567358193036903,166,0.595788968588253
"135",168,38669905,0.62959367942476,168,0.565184219937196
"136",171,44599687,0.586381175706942,171,0.520400469503056
"137",172,50939995,0.571533368407755,172,0.565782216593276
"138",173,51939992,0.635874416401206,173,0.635378871755823
"139",174,52189993,0.669590066196053,174,0.622498499318367
"140",175,54929978,0.61659164258012,175,0.695123409392487
"141",177,57399832,0.585584687451626,177,0.517148006947138
"142",179,60619555,0.663191271078154,179,0.650871074811075
"143",181,72759832,0.634371418298342,181,0.59745186904617
"144",182,75809949,0.564849501197775,182,0.570818182144775
"145",183,83589994,0.609314141223814,183,0.693917007473096
"146",184,85259753,0.596431506560671,184,0.559339202056572
"147",186,96279994,0.635098105619515,186,0.655290243639589
"148",187,96749681,0.612363085555719,187,0.641910339531852
